production_budget_usd,worldwide_gross_usd
35000000,12254746
35000000,10319915
35000000,18376443
35000000,31878891
35000000,24405825
35000000,12506188
35000000,13601109
35000000,61721826
35000000,14471440
35000000,63211088
35000000,33771965
35000000,15471969
35000000,41666476
35000000,48543388
35000000,39340177
35000000,29882645
35000000,20606053
35000000,25114901
35000000,33422485
35000000,64188387
35000000,34480045
35000000,31393201
35000000,68170792
35000000,81967450
35000000,22913677
35000000,24915969
35000000,28391473
35000000,28906817
35000000,203555567
35000000,25078937
35000000,37066129
35000000,35426759
35000000,26613620
35000000,73026302
35000000,27107960
35000000,86648359
35000000,54768418
35000000,52649951
35000000,97799865
35000000,30307804
35000000,77220596
35000000,68712365
35000000,70064800
35000000,111854182
35000000,33500620
35000000,33422806
35000000,99423000
35000000,116177695
35000000,50363790
35000000,45680201
35000000,53425292
35000000,84606030
35000000,75281179
35000000,165103952
35000000,46309644
35000000,65084116
35000000,77392139
35000000,103787401
35000000,85761789
35000000,65303052
35000000,70187088
35000000,58405313
35000000,89102315
35000000,95825125
35000000,48169910
35000000,95104304
35000000,53293628
35000000,96096018
35000000,108758521
35000000,146595891
35000000,56968169
35000000,60376247
35000000,65063726
35000000,113354449
35000000,85911226
35000000,117729621
35000000,83226569
35000000,83109359
35000000,126204977
35000000,90221182
35000000,102115888
35000000,122213085
35000000,231711151
35000000,182291969
35000000,218535708
35000000,159846429
35000000,139000000
35000000,114962525
35000000,140949327
35000000,197692062
35000000,212417601
35000000,326073155
35000000,175361578
35000000,245300000
35000000,319700000
35000000,252276928
35000000,310332636
35000000,411348924
35000000,305705794
35000000,465764086
34800000,62831715
34000000,10392666
34000000,14291999
34000000,10672566
34000000,11263966
34000000,205312666
34000000,32014993
34000000,63802928
34000000,139359078
34000000,348319861
33500000,50000000
33000000,357687
33000000,27610873
33000000,8408835
33000000,21621188
33000000,41495213
33000000,47267829
33000000,54533774
33000000,62020814
33000000,165552290
33000000,75909673
33000000,79958599
33000000,173559438
33000000,236500000
32500000,24159934
32500000,48425971
32500000,112964875
32500000,289527030
32500000,572705079
32000000,1308696
32000000,2899970
32000000,3588602
32000000,4357406
32000000,79915361
32000000,18195238
32000000,16640210
32000000,43603990
32000000,29948322
32000000,18552460
32000000,27392609
32000000,61477797
32000000,39498360
32000000,94875000
32000000,77593167
32000000,36299670
32000000,82332450
32000000,88978458
32000000,82339483
32000000,89441732
32000000,140428499
32000000,70587268
32000000,59450353
32000000,99296462
32000000,116898028
32000000,126539117
32000000,152036382
32000000,220236410
31500000,38771262
31500000,81250488
31000000,15826984
31000000,30885781
31000000,68079671
31000000,53208180
31000000,100655892
31000000,164350409
31000000,210300000
31000000,258210860
31000000,106282604
31000000,160558438
30250000,115021008
30000000,141661
30000000,143490
30000000,1769316
30000000,2717302
30000000,25199891
30000000,48048527
30000000,53048539
30000000,168832
30000000,929157
30000000,8593154
30000000,52339566
30000000,7755686
30000000,3721988
30000000,35869934
30000000,35891257
30000000,3252550
30000000,6460758
30000000,18765585
30000000,15313631
30000000,4967493
30000000,5564014
30000000,6916869
30000000,8845575
30000000,64352607
30000000,18535575
30000000,10419084
30000000,58228460
30000000,23353111
30000000,19599974
30000000,17865209
30000000,11578022
30000000,12017369
30000000,48330757
30000000,26184400
30000000,21577076
30000000,15358583
30000000,16910708
30000000,27147991
30000000,43440721
30000000,16295774
30000000,26323969
30000000,32955399
30000000,26857459
30000000,19892205
